relative_path,consumer_evidence,consumers,conditions,flags,evidence_note
items/npcBronzeShield.png,static-extracted,ItemShield|npcBronzeShield|CustomItems.java:470|extra-items-enabled,extra-items-enabled,,literal customnpcs texture registration in a parsed Java statement
items/npcBronzeSkirt.png,static-extracted,ItemSkirt|npcBronzeSkirt|CustomItems.java:714|extra-items-enabled,extra-items-enabled,,literal customnpcs texture registration in a parsed Java statement
items/npcBronzeSpear.png,static-extracted,ItemSpear|npcBronzeSpear|CustomItems.java:494|extra-items-enabled,extra-items-enabled,,literal customnpcs texture registration in a parsed Java statement
items/npcBronzeStaff.png,static-extracted,ItemStaff|npcBronzeStaff|CustomItems.java:575|extra-items-enabled,extra-items-enabled,,literal customnpcs texture registration in a parsed Java statement
items/npcBronzeSword.png,static-extracted,ItemNpcWeaponInterface|npcBronzeSword|CustomItems.java:408|extra-items-enabled,extra-items-enabled,,literal customnpcs texture registration in a parsed Java statement
items/npcBronzeTrident.png,static-extracted,ItemSpear|npcBronzeTrident|CustomItems.java:401|extra-items-enabled,extra-items-enabled,,literal customnpcs texture registration in a parsed Java statement
items/npcBronzeWarhammer.png,static-extracted,ItemWarhammer|npcBronzeWarhammer|CustomItems.java:527|extra-items-enabled,extra-items-enabled,,literal customnpcs texture registration in a parsed Java statement
items/npcBrushHair.png,none-extracted,,,,no consumer matched the controlled static registration pattern
items/npcBrushHandle.png,none-extracted,,,,no consumer matched the controlled static registration pattern
items/npcCarKey.png,static-extracted,ItemNpcInterface|npcCarKey|CustomItems.java:734|extra-items-enabled,extra-items-enabled,,literal customnpcs texture registration in a parsed Java statement
items/npcChainSkirt.png,static-extracted,ItemSkirt|npcChainSkirt|CustomItems.java:708|extra-items-enabled,extra-items-enabled,,literal customnpcs texture registration in a parsed Java statement
items/npcChickenSword.png,static-extracted,ItemNpcInterface|npcChickenSword|CustomItems.java:435|extra-items-enabled,extra-items-enabled,,literal customnpcs texture registration in a parsed Java statement
items/npcClarinet.png,static-extracted,ItemMusicClarinet|npcClarinet|CustomItems.java:289|always,always,,literal customnpcs texture registration in a parsed Java statement
items/npcCleaver.png,static-extracted,ItemNpcWeaponInterface|npcCleaver|CustomItems.java:440|extra-items-enabled,extra-items-enabled,,literal customnpcs texture registration in a parsed Java statement
items/npcCoinBronze.png,static-extracted,ItemNpcInterface|npcCoinBronze|CustomItems.java:359|extra-items-enabled,extra-items-enabled,,literal customnpcs texture registration in a parsed Java statement
